Problem,Optimizer,Success_Rate,Mean_Final_Value,Best_Value,Mean_Func_Evals,Mean_Time
Ackley_2D_a20_b0.2_c6.28e0,GD,0.0,3.57e0,3.57e0,20.2,0.001
Ackley_2D_a20_b0.2_c6.28e0,L-BFGS-MoreThuente,45.0,3.34e0,1.83e0,42.2,0.001
Ackley_2D_a20_b0.2_c6.28e0,Trust Region-Precise,0.0,3.58e0,3.58e0,39.5,0.000
Ackley_2D_a20_b0.2_c6.28e0,Adam-AMSGrad,0.0,3.57e0,3.57e0,753.0,0.017
Ackley_2D_a20_b0.2_c6.28e0,QQN-Bisection-2,40.0,2.75e0,3.79e-1,36.5,0.001
Ackley_2D_a20_b0.2_c6.28e0,Adam-WeightDecay,0.0,3.58e0,3.57e0,119.4,0.003
Ackley_2D_a20_b0.2_c6.28e0,L-BFGS-Limited,15.0,3.37e0,2.64e-1,176.7,0.002
Ackley_5D_a20_b0.2_c6.28e0,Trust Region-Conservative,0.0,3.58e0,3.57e0,212.3,0.002
Ackley_5D_a20_b0.2_c6.28e0,QQN-StrongWolfe,5.0,3.50e0,2.03e0,53.0,0.002
Ackley_5D_a20_b0.2_c6.28e0,Trust Region-Aggressive,0.0,4.15e0,3.71e0,5.0,0.000
Ackley_5D_a20_b0.2_c6.28e0,Adam-AMSGrad,0.0,3.57e0,3.57e0,1172.5,0.028
Ackley_5D_a20_b0.2_c6.28e0,Trust Region-Precise,0.0,3.62e0,3.57e0,45.5,0.000
Ackley_5D_a20_b0.2_c6.28e0,GD-AdaptiveMomentum,0.0,3.58e0,3.57e0,34.5,0.001
Ackley_5D_a20_b0.2_c6.28e0,GD-Nesterov,0.0,3.60e0,3.57e0,17.0,0.001
Ackley_5D_a20_b0.2_c6.28e0,QQN-GoldenSection,5.0,3.51e0,2.30e0,193.7,0.003
Ackley_5D_a20_b0.2_c6.28e0,Adam-Fast,0.0,3.60e0,3.57e0,83.3,0.002
Ackley_5D_a20_b0.2_c6.28e0,L-BFGS-Limited,0.0,3.57e0,3.57e0,310.5,0.005
Ackley_5D_a20_b0.2_c6.28e0,L-BFGS,25.0,3.46e0,1.87e0,121.3,0.002
Ackley_5D_a20_b0.2_c6.28e0,L-BFGS-Aggressive,20.0,3.76e0,3.01e0,3085.2,0.020
Ackley_5D_a20_b0.2_c6.28e0,QQN-Bisection-2,35.0,3.34e0,2.48e0,50.8,0.001
Ackley_5D_a20_b0.2_c6.28e0,L-BFGS-Conservative,0.0,3.57e0,3.57e0,373.8,0.006
Ackley_5D_a20_b0.2_c6.28e0,Adam,0.0,3.57e0,3.57e0,548.5,0.012
Ackley_5D_a20_b0.2_c6.28e0,QQN-Bisection-1,30.0,3.38e0,2.37e0,65.2,0.002
Ackley_5D_a20_b0.2_c6.28e0,QQN-CubicQuadraticInterpolation,5.0,3.56e0,3.14e0,206.9,0.006
Ackley_5D_a20_b0.2_c6.28e0,Adam-Robust,0.0,3.58e0,3.57e0,59.0,0.001
Ackley_5D_a20_b0.2_c6.28e0,Adam-WeightDecay,0.0,3.57e0,3.57e0,183.0,0.004
Ackley_5D_a20_b0.2_c6.28e0,Trust Region-Adaptive,0.0,3.70e0,3.58e0,17.3,0.000
Ackley_5D_a20_b0.2_c6.28e0,GD-Momentum,0.0,3.72e0,3.59e0,13.0,0.000
Ackley_5D_a20_b0.2_c6.28e0,L-BFGS-MoreThuente,10.0,3.50e0,2.54e0,51.0,0.001
Ackley_5D_a20_b0.2_c6.28e0,GD-WeightDecay,0.0,3.61e0,3.58e0,15.3,0.000
Ackley_5D_a20_b0.2_c6.28e0,GD,0.0,3.57e0,3.57e0,51.8,0.001
Ackley_5D_a20_b0.2_c6.28e0,Trust Region-Standard,0.0,4.49e0,3.60e0,9.1,0.000
Ackley_10D_a20_b0.2_c6.28e0,Trust Region-Conservative,0.0,3.58e0,3.57e0,205.8,0.002
Ackley_10D_a20_b0.2_c6.28e0,Trust Region-Aggressive,0.0,4.22e0,3.81e0,5.2,0.000
Ackley_10D_a20_b0.2_c6.28e0,Trust Region-Precise,0.0,3.61e0,3.58e0,42.5,0.000
Ackley_10D_a20_b0.2_c6.28e0,QQN-Bisection-2,20.0,3.54e0,3.30e0,65.9,0.002
Ackley_10D_a20_b0.2_c6.28e0,L-BFGS,15.0,3.50e0,2.72e0,133.3,0.002
Ackley_10D_a20_b0.2_c6.28e0,GD-WeightDecay,0.0,3.59e0,3.58e0,19.4,0.001
Ackley_10D_a20_b0.2_c6.28e0,QQN-Bisection-1,10.0,3.54e0,3.08e0,96.2,0.002
Ackley_10D_a20_b0.2_c6.28e0,L-BFGS-Limited,0.0,3.57e0,3.57e0,142.2,0.003
Ackley_10D_a20_b0.2_c6.28e0,Adam,0.0,3.57e0,3.57e0,745.8,0.017
Ackley_10D_a20_b0.2_c6.28e0,L-BFGS-Conservative,0.0,3.57e0,3.57e0,170.7,0.004
Ackley_10D_a20_b0.2_c6.28e0,Trust Region-Standard,0.0,4.36e0,3.64e0,9.1,0.000
Ackley_10D_a20_b0.2_c6.28e0,L-BFGS-Aggressive,5.0,3.54e0,2.95e0,185.8,0.003
Ackley_10D_a20_b0.2_c6.28e0,GD-Momentum,0.0,3.81e0,3.64e0,14.5,0.000
Ackley_10D_a20_b0.2_c6.28e0,Trust Region-Adaptive,0.0,4.41e0,3.59e0,18.2,0.000
Ackley_10D_a20_b0.2_c6.28e0,QQN-StrongWolfe,0.0,3.57e0,3.57e0,79.2,0.002
Ackley_10D_a20_b0.2_c6.28e0,GD-Nesterov,0.0,3.66e0,3.62e0,14.0,0.000
Ackley_10D_a20_b0.2_c6.28e0,GD-AdaptiveMomentum,0.0,3.60e0,3.57e0,16.1,0.001
Ackley_10D_a20_b0.2_c6.28e0,L-BFGS-MoreThuente,5.0,3.57e0,3.52e0,55.9,0.001
Ackley_10D_a20_b0.2_c6.28e0,GD,0.0,3.57e0,3.57e0,99.3,0.003
Ackley_10D_a20_b0.2_c6.28e0,Adam-Fast,0.0,3.60e0,3.57e0,106.6,0.002
Ackley_10D_a20_b0.2_c6.28e0,QQN-CubicQuadraticInterpolation,5.0,3.59e0,3.33e0,471.4,0.016
Ackley_10D_a20_b0.2_c6.28e0,QQN-GoldenSection,0.0,3.57e0,3.57e0,186.9,0.003
Ackley_10D_a20_b0.2_c6.28e0,Adam-AMSGrad,0.0,3.57e0,3.57e0,1241.4,0.031
Ackley_10D_a20_b0.2_c6.28e0,Adam-Robust,0.0,3.58e0,3.57e0,126.8,0.003
Ackley_10D_a20_b0.2_c6.28e0,Adam-WeightDecay,0.0,3.57e0,3.57e0,281.3,0.007
StyblinskiTang_2D,QQN-CubicQuadraticInterpolation,70.0,-7.34e1,-7.83e1,74.5,0.002
StyblinskiTang_2D,L-BFGS-MoreThuente,70.0,-7.41e1,-7.83e1,54.1,0.001
StyblinskiTang_2D,GD-AdaptiveMomentum,5.0,-3.87e1,-7.83e1,24.4,0.001
StyblinskiTang_2D,L-BFGS,50.0,-7.32e1,-7.83e1,132.3,0.002
StyblinskiTang_2D,Trust Region-Precise,0.0,-6.26e1,-6.35e1,3002.0,0.019
StyblinskiTang_2D,QQN-StrongWolfe,65.0,-7.34e1,-7.83e1,284.4,0.008
StyblinskiTang_2D,GD,65.0,-7.34e1,-7.83e1,66.5,0.002
StyblinskiTang_2D,QQN-Bisection-1,70.0,-7.40e1,-7.83e1,385.6,0.007
StyblinskiTang_2D,L-BFGS-Conservative,90.0,-7.69e1,-7.83e1,300.1,0.008
StyblinskiTang_2D,GD-WeightDecay,35.0,-7.46e1,-7.83e1,39.9,0.001
StyblinskiTang_2D,L-BFGS-Aggressive,0.0,-5.13e1,-7.77e1,3848.1,0.025
StyblinskiTang_2D,Adam,0.0,-2.94e1,-3.47e1,2502.0,0.050
StyblinskiTang_2D,Trust Region-Adaptive,70.0,-7.37e1,-7.83e1,885.1,0.005
StyblinskiTang_2D,GD-Nesterov,10.0,-6.56e1,-7.83e1,29.1,0.001
StyblinskiTang_2D,Trust Region-Conservative,0.0,-1.02e1,-1.15e1,3002.0,0.019
StyblinskiTang_2D,Trust Region-Aggressive,20.0,-6.43e1,-7.83e1,49.3,0.000
StyblinskiTang_2D,Adam-Fast,35.0,-7.48e1,-7.83e1,67.3,0.001
StyblinskiTang_2D,QQN-Bisection-2,75.0,-7.48e1,-7.83e1,99.0,0.002
StyblinskiTang_2D,GD-Momentum,15.0,-5.68e1,-7.83e1,35.9,0.001
StyblinskiTang_2D,Trust Region-Standard,40.0,6.01e1,-7.83e1,212.3,0.001
StyblinskiTang_2D,QQN-GoldenSection,90.0,-7.69e1,-7.83e1,159.8,0.002
StyblinskiTang_2D,L-BFGS-Limited,70.0,-7.41e1,-7.83e1,500.0,0.006
StyblinskiTang_2D,Adam-AMSGrad,0.0,-3.03e1,-3.29e1,2502.0,0.056
StyblinskiTang_2D,Adam-WeightDecay,80.0,-7.55e1,-7.83e1,1893.5,0.040
StyblinskiTang_2D,Adam-Robust,0.0,-2.07e1,-2.44e1,2502.0,0.056
StyblinskiTang_5D,Trust Region-Precise,0.0,-6.28e1,-6.40e1,3002.0,0.020
StyblinskiTang_5D,Adam-AMSGrad,0.0,-7.50e1,-8.10e1,2502.0,0.059
StyblinskiTang_5D,Adam-Robust,0.0,-5.32e1,-6.12e1,2502.0,0.059
StyblinskiTang_5D,Trust Region-Standard,55.0,-1.88e2,-1.96e2,568.8,0.004
StyblinskiTang_5D,L-BFGS-Aggressive,0.0,-1.04e2,-1.83e2,3847.9,0.028
StyblinskiTang_5D,Adam-WeightDecay,65.0,-1.90e2,-1.95e2,1865.5,0.041
StyblinskiTang_5D,GD-AdaptiveMomentum,10.0,-1.35e2,-1.95e2,34.4,0.001
StyblinskiTang_5D,Trust Region-Conservative,0.0,-1.05e1,-1.22e1,3002.0,0.019
StyblinskiTang_5D,QQN-CubicQuadraticInterpolation,45.0,-1.82e2,-1.96e2,129.7,0.005
StyblinskiTang_5D,QQN-Bisection-2,60.0,-1.89e2,-1.96e2,177.8,0.005
StyblinskiTang_5D,GD,50.0,-1.86e2,-1.95e2,95.7,0.003
StyblinskiTang_5D,QQN-Bisection-1,60.0,-1.89e2,-1.96e2,413.4,0.008
StyblinskiTang_5D,L-BFGS-Conservative,65.0,-1.89e2,-1.95e2,567.8,0.012
StyblinskiTang_5D,GD-Nesterov,30.0,-1.82e2,-1.96e2,44.9,0.001
StyblinskiTang_5D,Adam-Fast,55.0,-1.86e2,-1.96e2,65.0,0.001
StyblinskiTang_5D,GD-WeightDecay,60.0,-1.88e2,-1.96e2,53.1,0.002
StyblinskiTang_5D,L-BFGS,30.0,-1.86e2,-1.96e2,153.3,0.002
StyblinskiTang_5D,Adam,0.0,-7.38e1,-8.30e1,2502.0,0.052
StyblinskiTang_5D,Trust Region-Adaptive,65.0,-1.88e2,-1.95e2,2249.5,0.014
StyblinskiTang_5D,QQN-GoldenSection,70.0,-1.90e2,-1.96e2,330.5,0.006
StyblinskiTang_5D,Trust Region-Aggressive,45.0,-1.90e2,-1.96e2,144.5,0.001
StyblinskiTang_5D,QQN-StrongWolfe,40.0,-1.85e2,-1.96e2,261.1,0.009
StyblinskiTang_5D,L-BFGS-Limited,50.0,-1.89e2,-1.96e2,839.9,0.011
StyblinskiTang_5D,GD-Momentum,15.0,-1.64e2,-1.95e2,57.8,0.002
StyblinskiTang_5D,L-BFGS-MoreThuente,50.0,-1.89e2,-1.96e2,209.2,0.004
StyblinskiTang_10D,Trust Region-Precise,0.0,-6.35e1,-6.56e1,3002.0,0.023
StyblinskiTang_10D,QQN-StrongWolfe,15.0,-3.60e2,-3.86e2,362.2,0.012
StyblinskiTang_10D,GD-Momentum,15.0,-3.59e2,-3.82e2,86.2,0.003
StyblinskiTang_10D,QQN-CubicQuadraticInterpolation,15.0,-3.66e2,-3.91e2,172.1,0.006
StyblinskiTang_10D,Trust Region-Adaptive,0.0,-2.51e2,-2.54e2,3002.0,0.020
StyblinskiTang_10D,L-BFGS-Limited,35.0,-3.76e2,-3.86e2,550.6,0.009
StyblinskiTang_10D,L-BFGS-Aggressive,0.0,-1.97e2,-3.07e2,3848.4,0.029
StyblinskiTang_10D,GD,25.0,-3.71e2,-3.80e2,137.3,0.004
StyblinskiTang_10D,L-BFGS,45.0,-3.76e2,-3.90e2,132.2,0.002
StyblinskiTang_10D,GD-WeightDecay,45.0,-3.75e2,-3.83e2,74.7,0.003
StyblinskiTang_10D,QQN-Bisection-1,30.0,-3.74e2,-3.89e2,412.5,0.011
StyblinskiTang_10D,L-BFGS-Conservative,30.0,-3.74e2,-3.82e2,543.3,0.015
StyblinskiTang_10D,Adam-WeightDecay,35.0,-3.73e2,-3.78e2,1837.7,0.043
StyblinskiTang_10D,QQN-GoldenSection,45.0,-3.76e2,-3.91e2,452.4,0.010
StyblinskiTang_10D,Adam-Fast,30.0,-3.65e2,-3.85e2,67.5,0.002
StyblinskiTang_10D,Adam-AMSGrad,0.0,-1.51e2,-1.63e2,2502.0,0.061
StyblinskiTang_10D,Adam,0.0,-1.49e2,-1.65e2,2502.0,0.055
StyblinskiTang_10D,Trust Region-Standard,40.0,-3.68e2,-3.79e2,1120.5,0.008
StyblinskiTang_10D,GD-Nesterov,30.0,-3.75e2,-3.83e2,65.9,0.002
StyblinskiTang_10D,L-BFGS-MoreThuente,35.0,-3.76e2,-3.91e2,125.9,0.002
StyblinskiTang_10D,GD-AdaptiveMomentum,20.0,-3.21e2,-3.82e2,53.4,0.002
StyblinskiTang_10D,Adam-Robust,0.0,-1.05e2,-1.13e2,2502.0,0.062
StyblinskiTang_10D,QQN-Bisection-2,35.0,-3.72e2,-3.90e2,234.2,0.006
StyblinskiTang_10D,Trust Region-Conservative,0.0,-1.09e1,-1.25e1,3002.0,0.021
StyblinskiTang_10D,Trust Region-Aggressive,50.0,-3.71e2,-3.81e2,284.1,0.002
Beale_2D,Trust Region-Adaptive,0.0,1.27e-1,3.79e-2,179.6,0.001
Beale_2D,Trust Region-Precise,45.0,2.17e-2,3.20e-3,743.8,0.005
Beale_2D,L-BFGS-Conservative,100.0,1.17e-2,5.27e-3,200.7,0.005
Beale_2D,QQN-StrongWolfe,90.0,4.59e-1,3.96e-3,786.0,0.024
Beale_2D,GD-Nesterov,100.0,9.18e-3,4.69e-3,27.7,0.001
Beale_2D,QQN-GoldenSection,100.0,6.90e-3,2.42e-3,347.2,0.005
Beale_2D,GD-Momentum,5.0,1.32e0,1.20e-2,24.4,0.001
Beale_2D,Adam-Fast,0.0,1.59e0,1.39e0,37.6,0.001
Beale_2D,Adam-Robust,0.0,4.58e-1,1.68e-1,2502.0,0.054
Beale_2D,L-BFGS-Limited,100.0,1.00e-2,3.68e-4,110.5,0.002
Beale_2D,QQN-Bisection-1,95.0,4.13e-1,4.49e-3,277.4,0.006
Beale_2D,Trust Region-Aggressive,5.0,1.23e0,1.33e-3,17.8,0.000
Beale_2D,L-BFGS,65.0,4.55e-1,1.99e-3,122.0,0.002
Beale_2D,GD,100.0,1.49e-2,1.49e-2,229.2,0.006
Beale_2D,Trust Region-Standard,0.0,2.71e2,1.24e-1,50.2,0.000
Beale_2D,Adam-AMSGrad,0.0,2.17e-1,8.70e-2,2502.0,0.055
Beale_2D,L-BFGS-Aggressive,0.0,1.39e1,8.86e0,3851.9,0.021
Beale_2D,L-BFGS-MoreThuente,100.0,8.71e-3,3.68e-4,78.1,0.001
Beale_2D,Adam-WeightDecay,100.0,1.50e-2,1.49e-2,1539.9,0.031
Beale_2D,GD-WeightDecay,100.0,1.48e-2,1.46e-2,88.0,0.003
Beale_2D,QQN-CubicQuadraticInterpolation,95.0,4.97e-1,2.46e-3,218.8,0.008
Beale_2D,QQN-Bisection-2,70.0,2.61e0,3.70e-3,83.8,0.002
Beale_2D,GD-AdaptiveMomentum,80.0,3.09e-1,6.42e-4,25.5,0.001
Beale_2D,Adam,0.0,7.19e-2,3.04e-2,2502.0,0.049
Beale_2D,Trust Region-Conservative,5.0,4.33e0,9.92e-3,2999.7,0.018
Levi_2D,Trust Region-Adaptive,0.0,2.09e0,1.46e0,29.6,0.000
Levi_2D,GD,0.0,2.04e0,1.43e0,21.9,0.001
Levi_2D,Trust Region-Standard,0.0,2.18e0,1.43e0,10.7,0.000
Levi_2D,QQN-StrongWolfe,25.0,1.44e0,1.40e-1,450.4,0.014
Levi_2D,GD-AdaptiveMomentum,0.0,2.06e0,1.28e0,18.7,0.001
Levi_2D,QQN-GoldenSection,45.0,9.83e-1,1.87e-2,262.0,0.004
Levi_2D,Adam-AMSGrad,0.0,1.91e0,1.43e0,282.9,0.006
Levi_2D,Trust Region-Conservative,0.0,1.95e0,1.07e0,490.0,0.003
Levi_2D,Trust Region-Aggressive,0.0,1.33e2,1.02e0,6.3,0.000
Levi_2D,GD-Momentum,0.0,2.02e0,7.01e-1,19.0,0.001
Levi_2D,Adam-WeightDecay,0.0,1.95e0,1.44e0,99.6,0.002
Levi_2D,QQN-CubicQuadraticInterpolation,40.0,1.04e0,1.50e-1,189.6,0.007
Levi_2D,Adam-Fast,0.0,2.09e0,1.47e0,47.2,0.001
Levi_2D,L-BFGS-Conservative,0.0,1.94e0,1.43e0,209.4,0.004
Levi_2D,L-BFGS-MoreThuente,15.0,1.48e0,1.36e-1,86.2,0.001
Levi_2D,GD-Nesterov,0.0,1.93e0,7.77e-1,15.2,0.000
Levi_2D,QQN-Bisection-1,15.0,1.30e0,1.54e-1,200.7,0.004
Levi_2D,L-BFGS-Limited,25.0,9.89e-1,1.13e-1,828.4,0.009
Levi_2D,L-BFGS-Aggressive,0.0,2.87e0,1.00e0,3851.3,0.022
Levi_2D,Adam,0.0,1.93e0,1.43e0,242.4,0.005
Levi_2D,L-BFGS,15.0,4.40e0,1.84e-1,107.2,0.002
Levi_2D,Trust Region-Precise,0.0,2.04e0,1.43e0,76.8,0.001
Levi_2D,GD-WeightDecay,0.0,2.00e0,1.19e0,28.1,0.001
Levi_2D,QQN-Bisection-2,20.0,1.08e0,4.47e-2,77.5,0.001
Levi_2D,Adam-Robust,0.0,1.88e0,1.08e0,42.6,0.001
GoldsteinPrice_2D,L-BFGS,5.0,8.00e2,6.35e1,176.8,0.003
GoldsteinPrice_2D,QQN-Bisection-2,5.0,1.58e2,8.40e1,21.2,0.001
GoldsteinPrice_2D,L-BFGS-Conservative,0.0,8.44e2,8.40e2,346.4,0.005
GoldsteinPrice_2D,GD,0.0,8.50e2,8.41e2,24.6,0.001
GoldsteinPrice_2D,GD-WeightDecay,0.0,8.57e2,8.40e2,20.3,0.001
GoldsteinPrice_2D,Trust Region-Conservative,0.0,2.12e3,8.97e2,3002.0,0.018
GoldsteinPrice_2D,GD-Nesterov,0.0,8.57e2,8.40e2,24.6,0.001
GoldsteinPrice_2D,Trust Region-Aggressive,0.0,9.54e2,8.40e2,725.5,0.005
GoldsteinPrice_2D,Trust Region-Standard,0.0,1.22e3,8.40e2,1684.8,0.010
GoldsteinPrice_2D,Trust Region-Precise,0.0,2.20e3,8.40e2,2943.8,0.018
GoldsteinPrice_2D,Adam,0.0,8.40e2,8.40e2,597.1,0.012
GoldsteinPrice_2D,L-BFGS-Aggressive,0.0,8.60e2,8.43e2,3847.0,0.033
GoldsteinPrice_2D,QQN-GoldenSection,35.0,8.40e1,8.40e1,383.2,0.006
GoldsteinPrice_2D,QQN-Bisection-1,20.0,8.40e1,8.40e1,362.8,0.010
GoldsteinPrice_2D,L-BFGS-MoreThuente,5.0,1.19e2,2.24e1,621.9,0.010
GoldsteinPrice_2D,GD-AdaptiveMomentum,0.0,8.45e2,8.41e2,19.9,0.001
GoldsteinPrice_2D,Adam-AMSGrad,0.0,8.40e2,8.40e2,603.6,0.014
GoldsteinPrice_2D,Adam-Robust,0.0,8.41e2,8.40e2,81.0,0.002
GoldsteinPrice_2D,Trust Region-Adaptive,0.0,2.09e3,8.40e2,2649.8,0.016
GoldsteinPrice_2D,QQN-StrongWolfe,15.0,8.34e1,7.11e1,552.0,0.014
GoldsteinPrice_2D,GD-Momentum,0.0,8.98e2,9.88e1,17.9,0.000
GoldsteinPrice_2D,Adam-WeightDecay,0.0,8.40e2,8.40e2,209.7,0.005
GoldsteinPrice_2D,Adam-Fast,0.0,8.55e2,8.40e2,35.3,0.001
GoldsteinPrice_2D,QQN-CubicQuadraticInterpolation,15.0,2.71e2,8.40e1,291.6,0.011
GoldsteinPrice_2D,L-BFGS-Limited,0.0,8.41e1,8.40e1,4259.4,0.038
Matyas_2D,Adam-AMSGrad,100.0,2.50e-2,2.50e-2,680.7,0.015
Matyas_2D,L-BFGS,100.0,1.47e-2,5.88e-4,20.1,0.000
Matyas_2D,Adam-Robust,100.0,2.48e-2,2.46e-2,79.0,0.002
Matyas_2D,Adam-WeightDecay,100.0,2.49e-2,2.48e-2,221.4,0.005
Matyas_2D,GD-AdaptiveMomentum,95.0,2.52e-2,2.42e-2,29.2,0.001
Matyas_2D,Trust Region-Standard,0.0,2.41e-1,3.14e-2,7.2,0.000
Matyas_2D,Trust Region-Precise,0.0,4.71e-2,3.00e-2,5.0,0.000
Matyas_2D,Trust Region-Conservative,0.0,3.93e-2,2.66e-2,7.0,0.000
Matyas_2D,QQN-Bisection-1,100.0,1.91e-2,2.83e-3,34.2,0.001
Matyas_2D,GD-Nesterov,100.0,2.49e-2,2.48e-2,71.0,0.002
Matyas_2D,Trust Region-Aggressive,0.0,6.67e-1,2.86e-2,6.3,0.000
Matyas_2D,QQN-Bisection-2,100.0,1.49e-2,8.19e-4,40.9,0.001
Matyas_2D,QQN-StrongWolfe,100.0,2.73e-29,1.77e-32,24.0,0.001
Matyas_2D,GD-WeightDecay,100.0,2.50e-2,2.50e-2,223.7,0.007
Matyas_2D,Adam,100.0,2.50e-2,2.49e-2,624.2,0.012
Matyas_2D,Trust Region-Adaptive,0.0,6.88e-2,2.83e-2,7.0,0.000
Matyas_2D,QQN-CubicQuadraticInterpolation,100.0,1.07e-2,2.70e-30,34.0,0.001
Matyas_2D,QQN-GoldenSection,100.0,1.55e-2,1.12e-3,138.9,0.002
Matyas_2D,L-BFGS-Conservative,100.0,2.30e-2,2.07e-2,39.0,0.001
Matyas_2D,L-BFGS-MoreThuente,100.0,1.72e-2,2.59e-5,20.8,0.000
Matyas_2D,L-BFGS-Limited,100.0,1.73e-2,7.16e-3,24.6,0.000
Matyas_2D,GD,100.0,2.50e-2,2.50e-2,629.6,0.015
Matyas_2D,L-BFGS-Aggressive,95.0,2.44e-2,2.16e-2,217.4,0.002
Matyas_2D,GD-Momentum,100.0,2.49e-2,2.48e-2,67.2,0.002
Matyas_2D,Adam-Fast,100.0,2.30e-2,1.98e-2,12.9,0.000
Himmelblau_2D,QQN-Bisection-2,100.0,8.17e-2,2.27e-3,55.1,0.001
Himmelblau_2D,Trust Region-Precise,0.0,1.07e2,1.02e2,3002.0,0.018
Himmelblau_2D,GD,100.0,1.53e-1,2.80e-2,42.9,0.001
Himmelblau_2D,QQN-CubicQuadraticInterpolation,100.0,9.46e-2,5.19e-3,68.0,0.002
Himmelblau_2D,QQN-GoldenSection,100.0,7.91e-2,1.17e-4,102.8,0.001
Himmelblau_2D,Adam-AMSGrad,0.0,8.17e1,7.19e1,2502.0,0.055
Himmelblau_2D,Trust Region-Adaptive,100.0,1.32e-1,7.13e-2,2048.1,0.012
Himmelblau_2D,L-BFGS-Limited,100.0,9.58e-2,7.81e-3,60.9,0.001
Himmelblau_2D,Trust Region-Aggressive,25.0,6.71e-1,1.80e-2,133.1,0.001
Himmelblau_2D,GD-AdaptiveMomentum,0.0,6.94e1,5.87e1,22.8,0.001
Himmelblau_2D,GD-Nesterov,40.0,9.49e0,3.27e-2,26.7,0.001
Himmelblau_2D,QQN-StrongWolfe,100.0,9.18e-2,9.60e-3,61.5,0.001
Himmelblau_2D,Adam,0.0,8.20e1,7.20e1,2502.0,0.049
Himmelblau_2D,Adam-Robust,0.0,1.05e2,9.10e1,2502.0,0.055
Himmelblau_2D,Trust Region-Standard,80.0,1.50e-1,3.76e-3,516.7,0.003
Himmelblau_2D,QQN-Bisection-1,100.0,1.09e-1,2.06e-2,107.9,0.002
Himmelblau_2D,Adam-Fast,0.0,5.29e0,4.98e0,69.3,0.001
Himmelblau_2D,Adam-WeightDecay,100.0,2.41e-1,2.34e-1,1744.1,0.036
Himmelblau_2D,L-BFGS-Aggressive,0.0,3.44e1,4.95e0,3850.9,0.022
Himmelblau_2D,L-BFGS-MoreThuente,100.0,1.02e-1,8.92e-3,36.3,0.000
Himmelblau_2D,GD-WeightDecay,75.0,3.93e-1,8.90e-2,29.6,0.001
Himmelblau_2D,GD-Momentum,0.0,4.37e1,3.43e0,24.3,0.001
Himmelblau_2D,L-BFGS,35.0,6.22e0,1.56e-2,93.7,0.001
Himmelblau_2D,L-BFGS-Conservative,100.0,2.03e-1,1.42e-1,264.2,0.006
Himmelblau_2D,Trust Region-Conservative,0.0,1.60e2,1.52e2,3002.0,0.018
Booth_2D,QQN-CubicQuadraticInterpolation,100.0,2.56e-6,2.81e-7,56.0,0.001
Booth_2D,QQN-Bisection-2,100.0,1.49e-2,1.15e-2,100.0,0.002
Booth_2D,GD-Nesterov,0.0,2.56e0,2.10e0,20.6,0.001
Booth_2D,Trust Region-Standard,0.0,5.27e-1,3.46e-1,235.1,0.001
Booth_2D,L-BFGS-Conservative,100.0,1.10e-1,1.03e-1,208.0,0.005
Booth_2D,Adam-Robust,0.0,2.03e1,1.43e1,2502.0,0.055
Booth_2D,Trust Region-Conservative,0.0,6.49e1,5.04e1,3002.0,0.018
Booth_2D,L-BFGS-MoreThuente,100.0,3.86e-2,5.15e-4,29.7,0.000
Booth_2D,Adam-AMSGrad,0.0,1.19e1,8.69e0,2502.0,0.055
Booth_2D,L-BFGS-Limited,100.0,6.14e-2,2.04e-3,56.1,0.001
Booth_2D,Adam,0.0,1.20e1,8.76e0,2502.0,0.049
Booth_2D,GD,100.0,1.17e-1,1.15e-1,86.0,0.002
Booth_2D,GD-WeightDecay,15.0,1.29e0,1.15e-1,27.0,0.001
Booth_2D,L-BFGS,100.0,4.05e-2,1.17e-2,42.4,0.001
Booth_2D,GD-AdaptiveMomentum,0.0,9.51e0,8.56e0,21.0,0.001
Booth_2D,GD-Momentum,0.0,7.27e0,6.20e0,21.2,0.001
Booth_2D,QQN-GoldenSection,100.0,3.39e-2,1.60e-2,92.0,0.001
Booth_2D,QQN-Bisection-1,100.0,1.87e-2,1.21e-2,162.4,0.003
Booth_2D,Adam-Fast,0.0,3.09e0,2.74e0,56.3,0.001
Booth_2D,Adam-WeightDecay,100.0,1.19e-1,1.19e-1,1886.3,0.039
Booth_2D,Trust Region-Aggressive,0.0,1.49e0,4.00e-1,63.5,0.000
Booth_2D,L-BFGS-Aggressive,0.0,7.43e1,6.24e1,3852.0,0.021
Booth_2D,QQN-StrongWolfe,100.0,1.13e-2,9.93e-3,26.0,0.000
Booth_2D,Trust Region-Precise,0.0,1.05e1,2.82e0,3002.0,0.018
Booth_2D,Trust Region-Adaptive,90.0,6.12e-2,2.38e-2,919.9,0.006
Griewank_2D,Adam,0.0,5.24e0,5.16e0,2502.0,0.050
Griewank_2D,GD-AdaptiveMomentum,0.0,4.99e0,4.97e0,32.0,0.001
Griewank_2D,Adam-Robust,0.0,5.36e0,5.26e0,2502.0,0.056
Griewank_2D,Trust Region-Adaptive,0.0,5.11e0,5.00e0,16.4,0.000
Griewank_2D,Adam-AMSGrad,0.0,5.24e0,5.16e0,2502.0,0.057
Griewank_2D,Adam-WeightDecay,0.0,4.92e0,4.92e0,2231.2,0.047
Griewank_2D,QQN-CubicQuadraticInterpolation,0.0,4.80e0,2.74e0,77.3,0.002
Griewank_2D,Adam-Fast,0.0,4.93e0,4.92e0,67.0,0.001
